publisher,safe_name,wiki_title,wiki_lang,wikidata_id,official_url,logo_filename,image_source_url,output_path,status
Les Éditions Fei,Les Éditions Fei,Xu Ge Fei,fr,Q16683562,,Xu Ge Fei - Salon du Livre 2014 (13328556445).jpg,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Les Éditions Fei/folder.jpg,no_image
Les éditions de la Gouttière,Les éditions de la Gouttière,Éditions de la Gouttière,fr,Q3579611,http://www.editionsdelagouttiere.com,,https://cdn.prod.website-files.com/63ea12b3687e2c4ed7c707d6/641c6c46cfdcfa65e8f5f9cc_logo_with_text_bigger_text.webp,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Les éditions de la Gouttière/folder.jpg,ok
Lombard,Lombard,Lombards,fr,Q130900,,,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Lombard/folder.jpg,no_image
Lounak,Lounak,Prix Bédélys,fr,Q3404426,,,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Lounak/folder.jpg,no_image
Lucky Comics,Lucky Comics,Lucky Comics,fr,Q3265934,,,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Lucky Comics/folder.jpg,no_image
Lucky Productions,Lucky Productions,Liste des histoires de Lucky Luke,fr,Q746005,,,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Lucky Productions/folder.jpg,no_image
Lécureux/Centlys,Lécureux-Centlys,List of black animated characters: 2000s,en,Q131735942,,,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Lécureux-Centlys/folder.jpg,no_image
Magic Strip,Magic Strip,Magic Strip,fr,Q3276897,,,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Magic Strip/folder.jpg,no_image
Makaka Editions,Makaka Editions,Makaka éditions,fr,Q16662516,http://www.makaka-editions.com,,https://makaka-editions.com/wp-content/uploads/2021/07/Favicon-Makaka-Editions.png,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Makaka Editions/folder.jpg,ok
Marabout,Marabout,Marabout (islam),fr,Q80866,,,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Marabout/folder.jpg,no_image
Milan,Milan,Milan,fr,Q490,https://www.comune.milano.it/,"Milano, Duomo with Milan Cathedral and Galleria Vittorio Emanuele II, 2016.jpg",https://commons.wikimedia.org/wiki/Special:FilePath/Milano%2C%20Duomo%20with%20Milan%20Cathedral%20and%20Galleria%20Vittorio%20Emanuele%20II%2C%202016.jpg,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Milan/folder.jpg,ok
Mosquito,Mosquito,De Havilland DH.98 Mosquito,fr,Q221344,,RAF Mosquito with Molins gun WWII IWM CH 14114.jpg,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Mosquito/folder.jpg,no_image
Naïve,Naïve,Naïve Records,fr,Q2337027,https://naiverecords.com/,Naïve logo.png,https://images.squarespace-cdn.com/content/v1/5ce2b8cb30872600016d6ca3/1558628890397-RMHP1LYRYXMDDAHR9F2S/Logo+naive+noir+small.png,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Naïve/folder.jpg,ok
Nickel Productions,Nickel Productions,Nickel,fr,Q744,,Electrolytic nickel.jpg,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Nickel Productions/folder.jpg,no_image
Noir Dessin Production,Noir Dessin Production,Noir Dessin Production,fr,Q13216620,https://www.noirdessinlaboutique.be/qui-sommes-nous.html,,https://media.cdnws.com/_i/35718/6/3695/6/logo-noir-dessin.jpeg,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Noir Dessin Production/folder.jpg,ok
Norma Editorial,Norma Editorial,Norma Editorial,fr,Q2309266,http://www.normaeditorial.com,Norma Editorial.svg,https://www.normaeditorial.com/images/favicon/apple-touch-icon-114x114.png,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Norma Editorial/folder.jpg,ok
Novedi,Novedi,Novedi,fr,Q3345384,,,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Novedi/folder.jpg,no_image
Nucléa,Nucléa,Nucléa,fr,Q48747847,,,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Nucléa/folder.jpg,no_image
12bis,12bis,,,,,,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/12bis/folder.jpg,exists
6 Pieds Sous Terre,6 Pieds Sous Terre,,,,,,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/6 Pieds Sous Terre/folder.jpg,exists
Actes Sud,Actes Sud,,,,,,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Actes Sud/folder.jpg,exists
